"","id","blurb","launch","created"
"6127",1433804035,"""Folksy Theatre will be touring rural areas with this brand new adaptation of Charles Dickens classic 'A Christmas Carol'."",",1405759812,1403463264
"6168",1429406107,"""Rossum’s Universal Robots are the perfect workforce, without emotions, needs, or souls. But they are changing. Becoming more like us..."",",1405024561,1402706868
"6218",1485049403,"""The concert reading of a new musical called \""Cosette.\""  Performed by the Academy of New Musical Theatre."",",1405125962,1404997352
"6229",1378919148,"""A horrifyingly intimate, full-sensory experience that blurs the line between fiction and reality coming to San Diego this October."",",1405494643,1405113514
"6235",182630279,"""This is a project for handicapped children and orhpans, aimed to bring joy and heal the great souls of small people and encourage them."",",1405966826,1404489723
"6237",1774539585,"""An ensemble of student actors collaborate, create, imagine, play, and challenge themselves in Get2Act's production of Godspell."",",1404845465,1404780862
"6258",323084314,"""“If We Can Dream” is the song recorded as the new International World Peace and Humanitarian Anthem.\n\nWe need your support in helping"",",1404262140,1403760898
"6279",1678522866,"""Teaching Literacy Through The Arts\n                       Project\n                  Team R.E.A.D\nRevolutionize ,Education,And,Drama"",",1406918378,1402943463
"6286",341967753,"""“A Spiritual Journey with Supernatural Experiences Beyond Explanation!”"",",1406149074,1404868390
"6345",1364292288,"""If tables had ears what tales would they tell? Sins of Seven Tables, a modern take on the 7 Deadlies, are they still sins?"",",1406058798,1404317429
"6346",1341960306,"""We wish to acquire QUEEN's musical rights for a live musical show by TEMP (Puerto Rican Experimental Musical Theater). Help us make it!"",",1406823342,1406575263
"6393",569145318,"""Is the public ready to hear Matt's story? Is he willing to risk public speaking and the waning reputation among his own race?"",",1406572381,1406120423
"6394",2062975739,"""Thinkers! is an educational touring children's theatre launching in 2015! \""Life's tough!  It's even tougher when you don't think!\"""",",1404844601,1402853830
"6399",1139925726,"""Against the decline of Thatcherism, the fall of the Wall, and the rise of Acid House. This comedy is a 'Withnail & I' for 1993."",",1406825360,1405802261
"6418",1090347461,"""Dallas Area Youth is hosting \""The Promise\"" and need your help to raise $5,000.00 to meet our costume budet for our 60+ cast members."",",1404867595,1404826198
"6435",1086993194,"""Looking to establish a communal space for art shows, bands, farmer's markets, environmental education, and traditional skills."",",1406819784,1406579951
